packet_session_id,protocol,device_type,vpn_status,region,login_attempts,failed_logins,bytes_sent,bytes_received,packet_rate,connection_count,tcp_flags,port_number,session_retries,signal_strength,privilege_level,anomaly_score,avg_packet_size,attack_category
P000000,TCP,Workstation,On,APAC,0,6,3735.701996595624,7083.530344115831,184.5147701598138,7,FIN,3389,0,-71.34511116113953,user,0.11735545894736324,332.60200955672065,Benign
P000001,TCP,Workstation,Off,EU,1,2,6140.8668082464865,4382.336674617339,155.0626044991395,5,ACK,110,1,-44.35188307592587,user,0.23888764513920965,314.5534164112144,Benign
P000002,TCP,Workstation,Off,US,3,0,4714.2446718302335,6979.428832088729,125.95924971121222,4,FIN,80,0,-64.47500523368677,user,0.1239614509290378,266.9425446274685,Benign
P000003,UDP,Server,Off,APAC,2,0,2987.8544502012337,2715.3077652997945,88.4443093859328,3,FIN,110,1,-48.033201876572214,guest,0.4627807801666121,259.3626393602531,BruteForce
P000004,UDP,IoT,Off,US,1,5,5021.324823185014,4858.666310430627,153.38548319207266,2,SYN-ACK,110,2,-65.32035244453175,user,0.1855270050315492,293.2947209414879,BruteForce
P000005,TCP,Workstation,On,EU,3,1,5611.170345003384,7618.08882164047,115.15865758540014,3,SYN,110,0,-68.28801035497986,admin,0.5708011731311224,284.647177050253,BruteForce
P000006,tcp,Workstation,Off,EU,6,2,3140.6071121336254,5539.065998059485,145.28323536964817,5,SYN,21,1,-64.91836040860828,guest,0.3441382619198112,305.52691151393,Benign
P000007,,Mobile,On,APAC,4,0,5369.040024207616,7248.335284476264,127.83164916706112,7,SYN,110,0,-57.73741756925727,user,0.1350298274462836,318.6899171194083,Benign
P000008,ICMP,IoT,Off,US,3,1,33385.813113456694,9726.207834555582,138.59143403083624,10,SYN-ACK,53,3,-59.282052170423896,user,0.43462837245256136,346.28649240992604,Benign
P000009,UDP,Workstation,Off,EU,2,2,1486.0564101387668,5089.932042102099,104.08055929670165,5,ACK,21,3,-65.8285156426659,user,0.5527939221462219,216.43203688503257,Benign
P000010,TCP,Mobile,Off,APAC,3,1,5324.624581797309,6413.327555648978,171.44939830258045,7,ACK,443,3,,user,0.12201063157661192,275.7580397123487,Benign
P000011,TCP,Mobile,Off,EU,3,1,5705.853445977571,5548.295113539797,121.78958029762647,1,SYN-ACK,443,1,-81.4332374115173,user,0.16481637376250113,291.60840600998824,Benign
P000012,TCP,IoT,On,ME,1,1,3640.413263318589,5999.966661458928,43.14664717324999,4,ACK,53,1,-67.42267474240242,user,0.28668076169997586,226.94257664746164,Benign
P000013,,Server,On,APAC,3,1,3611.572112335835,6567.558205716906,113.73670306621685,8,ACK,443,0,-52.388627743721344,user,0.1499992819269997,306.958354652667,Benign
P000014,UDP,Mobile,On,US,0,0,2437.9189706415586,2658.0005280104374,126.09425126301734,2,ACK,80,2,-67.57823998906734,user,0.1992649318953212,289.0335968100931,BruteForce
P000015,TCP,Server,Off,US,0,0,5135.6893177983875,,146.810133430213,7,ACK,443,1,-49.38350310988672,user,0.7143808675178054,322.0768133872924,BruteForce
P000016,TCP,Mobile,Off,APAC,0,1,2614.4546179755525,7443.2621021707555,104.03295743515459,4,SYN-ACK,143,4,,user,0.3803730991465843,297.10758421252035,Benign
P000017,UDP,Workstation,On,EU,2,1,4226.007119550151,10132.470856230677,106.12626346335199,4,SYN-ACK,21,1,-61.33248361490813,user,0.42199832873855003,286.23183791160375,BruteForce
P000018,TCP,Mobile,Off,EU,0,0,2674.4637885537504,5156.229213749624,163.7875326237551,3,SYN-ACK,53,2,-68.37486319468438,guest,0.6150387898976751,311.2880088559635,BruteForce
P000019,ICMP,Mobile,Off,APAC,1,0,4477.604647081635,4284.480568093791,137.47694991937257,9,FIN,3389,1,-72.27396174765076,user,0.32728554857931597,286.7978841181085,BruteForce
P000020,TCP,Server,Off,EU,0,0,29064.310734631028,5295.124509222927,121.72726265356717,6,FIN,80,1,-57.60060639439418,guest,0.16333044790788556,284.39973866525673,Benign
P000021,ICMP,Server,Off,EU,2,1,5775.896052521257,3751.9492215580926,155.0168680488453,2,SYN,25,1,-56.31115723178335,user,0.21493515122063148,325.11496928699137,Benign
P000022,TCP,Workstation,On,EU,2,1,5126.830266173885,5939.59505095708,120.4765871341022,2,ACK,3389,1,-68.51310749695219,user,0.36197729866792766,297.7001150071878,Benign
P000023,ICMP,Server,Off,EU,3,2,5821.647865851077,8911.487375756424,106.9525015406233,3,SYN-ACK,25,1,-45.13214945817218,admin,0.03850746235478017,282.1227304134668,Benign
P000024,TCP,Mobile,Off,EU,1,0,6971.3797864947,7923.427148018425,178.1461099643005,5,FIN,53,0,-46.565587155696136,user,0.3819465099305728,311.3354783322972,Benign
P000025,,IoT,Off,US,1,1,6398.276985890964,5731.733297624234,137.42059066999246,3,FIN,53,1,-62.27980168202885,admin,0.6107190171792753,306.6178025733975,Benign
P000026,tcp,Workstation,On,US,1,1,6302.341585976701,5364.135314415329,116.90223821721952,6,SYN-ACK,143,3,-56.52760876364167,user,0.33427046869244204,308.4017002342017,BruteForce
